size,count
1243,5
1245,2
1248,1
1250,3
1252,1
1253,1
1254,2
1256,1
1263,2
1264,1
1265,1
1266,2
1268,1
1270,1
1271,1
1274,1
1275,1
1278,1
1280,1
1281,1
1283,1
1284,1
1285,2
1287,1
1290,1
1294,2
1298,2
1299,2
1302,1
1304,2
1305,2
1306,1
1309,3
1320,1
1322,1
1324,2
1326,1
1327,2
1328,1
1331,1
1332,1
1333,1
1334,2
1335,1
1337,2
1339,2
1340,1
1341,1
1343,1
1345,1
1349,2
1351,1
1355,3
1356,1
1361,1
1362,1
1363,1
1366,1
1367,1
1368,1
1371,1
1376,1
1378,1
1381,1
1382,1
1383,1
1384,1
1387,1
1388,2
1393,1
1394,1
1395,1
1396,1
1398,1
1399,1
1401,1
1405,1
1408,1
1411,1
1414,1
1415,1
1416,1
1419,1
1422,1
1423,2
1427,1
1428,1
1430,1
1433,1
1434,1
1435,1
1440,3
1442,1
1443,1
1444,1
1445,4
1447,2
1449,1
1452,1
1456,1
1457,1
1460,1
1461,1
1462,1
1464,1
1466,1
1469,1
1480,1
1484,1
1486,1
1488,2
1489,1
1490,2
1491,1
1493,1
1495,1
1500,3
1503,3
1505,1
1506,1
1507,1
1508,1
1509,2
1512,2
1514,2
1519,2
1521,2
1522,1
1529,1
1530,1
1533,2
1534,1
1536,3
1543,1
1548,1
1549,2
1550,2
1556,1
1557,1
1559,1
1564,1
1565,1
1572,1
1576,3
1579,2
1581,1
1582,1
1583,1
1584,1
1589,1
1592,1
1594,1
1599,1
1605,1
1606,1
1611,1
1613,1
1618,1
1622,1
1623,1
1624,1
1625,2
1627,1
1630,1
1631,1
1633,1
1635,2
1638,1
1639,1
1643,1
1644,1
1645,1
1646,1
1649,1
1650,1
1652,1
1653,1
1654,1
1660,1
1661,1
1662,1
1664,1
1667,1
1673,1
1675,1
1676,2
1677,2
1678,1
1680,1
1684,1
1685,1
1689,1
1693,2
1695,1
1696,1
1697,1
1699,2
1703,1
1704,1
1712,1
1717,1
1723,1
1724,1
1725,1
1728,2
1730,1
1732,1
1735,1
1736,2
1737,1
1738,1
1739,2
1740,1
1741,1
1747,2
1748,1
1749,1
1760,1
1762,1
1763,1
1764,1
1765,2
1768,1
1769,2
1772,1
1778,1
1783,1
1785,1
1786,1
1793,1
1801,2
1805,1
1810,1
1812,1
1813,1
1816,1
1821,1
1826,1
1828,1
1834,1
1835,1
1842,1
1844,1
1849,1
1851,1
1854,3
1856,1
1865,1
1870,1
1873,1
1876,1
1878,2
1882,2
1883,1
1884,3
1886,1
1888,2
1891,1
1899,2
1901,1
1902,1
1907,2
1910,1
1913,1
1916,1
1919,1
1923,1
1925,2
1928,1
1929,1
1930,1
1934,1
1935,1
1936,1
1940,1
1946,1
1951,1
1963,1
1966,1
1972,1
1979,1
1985,2
1988,1
1990,1
1995,1
1996,1
1998,1
2003,2
2007,1
2009,1
2013,1
2018,2
2019,1
2020,1
2021,1
2022,1
2026,1
2035,1
2037,1
2039,1
2043,1
2047,2
2048,1
2051,1
2053,1
2057,2
2058,2
2059,1
2060,3
2066,1
2077,1
2079,2
2083,1
2084,1
2090,1
2096,1
2098,1
2099,1
2100,1
2105,1
2112,1
2119,2
2120,1
2121,1
2131,1
2140,1
2142,1
2150,1
2152,1
2154,1
2161,1
2162,1
2167,2
2174,2
2186,1
2191,1
2192,1
2193,1
2201,1
2209,1
2211,1
2214,1
2217,1
2219,1
2224,1
2225,1
2226,1
2229,1
2233,1
2243,1
2244,1
2250,1
2258,1
2259,1
2264,1
2266,1
2269,1
2271,1
2281,1
2289,1
2298,1
2301,1
2303,1
2304,1
2311,1
2322,1
2323,1
2333,1
2335,1
2337,1
2339,1
2349,1
2350,1
2351,1
2354,1
2355,1
2358,1
2364,1
2371,1
2383,1
2388,1
2392,1
2399,1
2400,1
2416,1
2423,1
2424,1
2425,1
2429,1
2431,1
2433,1
2434,2
2439,1
2455,1
2474,1
2482,1
2484,1
2485,1
2488,1
2498,1
2500,1
2510,1
2511,1
2512,1
2513,1
2519,2
2520,1
2522,1
2530,1
2534,1
2539,2
2542,1
2546,1
2547,1
2548,1
2552,1
2560,1
2562,1
2573,1
2576,2
2577,1
2583,1
2584,1
2603,1
2606,1
2614,1
2621,1
2622,1
2629,1
2631,1
2632,1
2640,1
2642,1
2651,1
2652,1
2659,1
2662,1
2663,1
2665,1
2679,1
2683,1
2686,1
2692,1
2702,2
2707,1
2708,1
2709,1
2721,1
2743,1
2744,1
2747,1
2755,1
2770,1
2771,1
2774,1
2781,1
2786,1
2790,1
2793,2
2794,1
2796,1
2803,1
2814,1
2824,1
2827,1
2829,1
2831,1
2832,1
2845,1
2846,1
2848,1
2866,1
2879,1
2881,1
2900,1
2905,1
2912,1
2918,1
2924,1
2934,1
2942,2
2952,1
2955,1
2971,1
2977,1
2986,1
2988,1
2992,1
2994,1
2998,1
3023,1
3038,1
3048,1
3050,1
3052,1
3053,1
3061,1
3064,1
3074,1
3079,1
3110,1
3114,1
3125,1
3135,1
3137,1
3150,1
3153,1
3174,1
3177,1
3183,1
3187,1
3191,1
3206,1
3213,1
3226,1
3238,1
3240,1
3241,1
3242,1
3244,1
3245,1
3246,1
3266,1
3281,1
3293,1
3297,2
3306,1
3312,1
3314,1
3323,1
3326,1
3331,1
3337,1
3352,1
3367,1
3369,1
3373,1
3404,1
3409,1
3411,1
3417,1
3426,1
3429,1
3438,1
3445,1
3450,1
3455,1
3468,2
3496,1
3497,1
3500,1
3503,1
3505,1
3516,1
3520,1
3529,1
3537,1
3542,1
3544,1
3549,1
3564,1
3570,2
3583,1
3608,1
3610,1
3635,1
3637,1
3654,1
3657,1
3667,1
3682,1
3683,1
3684,1
3685,1
3687,1
3706,1
3710,1
3722,2
3728,1
3736,1
3758,1
3761,1
3776,1
3804,1
3811,1
3812,1
3831,1
3836,1
3857,1
3859,1
3865,1
