age,mean_size,sd_size,n
302,6.5052,34.8616,194
303,18.9836,201.7133,304
304,18.3277,131.5631,235
305,11.816,61.8568,288
306,9.4434,45.9455,106
307,8.5844,119.9265,1932
308,5.5128,27.6415,273
309,6.6446,30.9524,166
310,7.2901,34.1059,293
311,10.0676,63.3879,355
312,7.4235,32.7742,392
313,5.932,15.1782,103
314,8.2935,26.8138,402
315,1.8182,2.2669,88
316,8.403,59.0782,201
317,6.0706,22.1325,255
318,14.1571,52.5921,70
319,8.0632,28.6767,190
320,197.9621,3380.6502,317
321,5.3719,19.0329,121
322,9.0126,88.6557,239
323,9.1491,27.8023,161
324,3.299,5.0563,97
325,10.2351,68.9412,655
326,41.5081,323.7056,124
327,7.487,43.7357,230
328,6.9822,26.4423,169
329,7.3313,27.4959,163
330,6.6377,44.4498,276
331,7.3692,44.0379,195
332,16.5947,96.3061,190
333,3.4709,10.7464,223
334,8.8015,121.1823,1325
335,7.2404,27.6816,183
336,10.1545,56.204,110
337,102.1681,1386.7976,232
338,11.2143,83.2555,154
339,5.6246,22.1816,285
340,8.3133,34.7847,150
341,4.2303,12.0866,152
342,12.4094,64.0041,127
343,47.0945,491.0905,201
344,25.7292,154.6347,288
345,6.8925,32.7378,279
346,14.4397,66.2282,307
347,2.9833,6.2504,60
348,4.9661,19.8885,118
349,3.8904,11.3033,73
350,5.2438,30.4608,160
351,7.2059,23.1582,204
352,9.8497,60.442,173
353,9.8443,31.2304,167
354,4.3459,14.4752,133
355,9.1667,39.5587,150
356,3.9794,12.4524,97
357,9.0579,27.8224,121
358,3.7333,8.4196,180
359,9.7701,35.841,87
360,10.3944,54.555,213
361,5.0044,23.7294,227
362,80.9808,775.0147,104
363,21.8788,165.1395,99
364,10.3975,144.817,551
365,3.8261,10.4449,184
366,200.6066,1729.2101,183
367,5.3485,14.8879,132
368,2.2909,4.9877,55
369,6.9527,25.2214,275
370,10.9074,57.7003,162
371,4.8783,13.5822,115
372,4.6752,24.6092,234
373,34.4839,221.4771,62
374,11.3492,36.4539,126
375,14.2927,64.3812,164
376,30.5812,294.0357,117
377,6.7778,37.6586,171
378,2.6429,8.6924,84
379,8.4375,35.9368,144
380,6.4486,34.93,321
381,17.8485,116.4737,66
382,4.2826,14.484,92
383,5.5118,19.3502,170
384,3.2977,7.2012,131
385,34.9505,204.1482,101
386,3.0745,9.4973,94
387,6.994,42.4692,166
388,6.1786,28.2024,112
389,14.907,75.6739,86
390,3.8026,14.8226,233
391,11.1818,39.0703,55
392,6.8504,42.1222,361
393,7.1907,24.5173,194
394,46.1471,448.7859,204
395,7.1273,26.7976,110
396,30.3729,280.2416,118
397,11.0938,55.8824,96
398,15.9825,97.1795,229
399,3.9828,21.0319,174
400,13.5934,146.7431,610
401,4.994,14.7695,168
402,19.2105,124.7666,114
403,2.8764,8.6679,89
404,11.2914,88.2535,175
405,1.2308,1.1818,52
406,2.8211,8.2242,95
407,14.6078,91.4109,102
408,1.9882,5.2949,85
409,3.2976,9.1859,84
410,13.5132,58.931,76
411,22.9429,203.3876,105
412,22.4583,132.0386,120
413,7.819,42.82,105
414,2.3182,5.7436,22
415,3.0423,9.5176,71
416,19.6481,200.0492,216
417,1.9167,5.6012,72
