size,mean_output,sd_output,n
313,283.1032,331.4715,7
314,343.7846,244.5233,16
315,324.5534,176.6429,11
316,302.5609,300.9835,11
317,284.9459,238.1127,12
318,206.9763,224.8204,16
319,239.5128,242.2408,13
320,395.1009,404.1468,13
321,280.3195,231.4608,15
322,275.5264,74.6125,8
323,244.0754,209.4536,11
324,511.206,197.1412,9
325,382.2329,269.6373,8
326,429.803,348.2758,9
327,501.7718,366.7646,12
328,401.866,285.9797,11
329,295.4406,374.7674,9
330,303.8059,299.6911,11
331,308.4134,360.5115,9
332,180.6721,227.8439,4
333,177.3808,197.7727,7
334,319.9372,210.1461,10
335,272.5386,244.0321,12
336,278.2538,314.075,8
337,233.9533,206.7225,7
338,353.5785,316.9696,7
339,469.5975,350.4843,7
340,453.5582,314.4579,7
341,328.4337,273.5026,10
342,574.4644,449.7373,7
343,320.2963,409.8166,10
344,317.9795,211.3648,9
345,287.0007,357.5349,7
346,328.1267,286.3717,2
347,439.0148,301.9913,10
348,109.906,97.1037,8
349,275.5832,306.7169,9
350,335.7558,298.6014,12
351,390.9399,183.027,10
352,609.7237,506.336,7
353,335.3361,216.5884,12
354,415.4619,409.3079,15
355,510.2431,596.0526,4
356,463.9185,378.3462,8
357,283.448,341.6502,5
358,261.4645,259.4686,6
359,309.1516,270.0606,9
360,330.2696,309.9246,8
361,705.1998,299.3948,7
362,470.5458,327.2897,5
363,374.285,281.6687,10
364,578.597,466.3279,4
365,239.236,157.1664,6
366,326.4405,344.2836,12
367,548.437,355.8022,5
368,261.6368,192.2221,14
369,409.206,407.0151,12
370,457.3865,480.2989,7
371,158.1268,166.3929,9
372,120.5093,102.1605,7
373,243.4744,242.1684,12
374,449.1743,280.8872,11
375,406.9839,414.5708,14
376,311.6444,260.7629,11
377,357.1315,348.8231,9
378,279.8032,224.7067,15
379,392.5913,237.5199,11
380,485.1253,408.6368,9
381,249.2466,208.2053,3
382,256.5932,118.0458,6
383,447.2587,206.6287,7
384,374.9103,420.6801,5
385,579.8374,534.9398,8
386,369.3179,357.882,5
387,198.6596,242.2231,7
388,529.9422,407.2355,4
389,509.0776,572.7992,4
390,475.4432,259.2417,8
391,394.1388,245.4921,5
392,338.6953,377.7636,11
393,533.5381,423.1406,10
394,388.9906,270.9039,9
395,588.9567,78.0491,3
396,266.0766,227.2237,7
397,236.0503,199.645,7
398,541.7218,406.9246,4
399,379.2196,311.4038,6
400,264.9413,195.1639,8
401,774.2343,526.1929,6
402,556.771,417.152,4
403,435.2792,331.8056,5
404,320.9759,73.3615,3
405,216.5018,204.4069,5
406,257.1669,292.3877,3
407,331.5194,370.5316,3
408,248.0295,353.7837,5
409,349.4271,196.1017,4
410,389.6082,364.4119,5
411,288.3177,126.2387,4
412,281.5491,248.1101,11
413,165.4295,172.2596,5
414,381.0103,394.9681,4
415,242.1474,211.1763,5
416,800.6242,286.9873,3
417,534.4297,347.5094,8
418,450.1079,373.4233,4
419,248.517,144.9283,5
420,261.6519,242.4965,9
421,503.6752,564.4109,6
422,395.6696,212.6869,7
423,607.4242,158.1581,5
424,497.025,556.2701,7
425,210.1341,65.9505,4
426,35.4851,19.3058,3
427,665.1817,466.8544,4
428,448.4135,317.2351,5
429,345.1739,364.5489,10
430,367.5154,287.5238,8
431,369.1685,301.5199,7
432,485.8593,253.6775,8
433,351.1836,319.9513,7
434,537.6091,430.8378,9
435,442.6609,383.2408,4
436,650.1404,386.3348,4
437,612.4845,621.3615,5
438,618.4424,343.5097,5
439,831.1576,485.9061,5
440,392.277,462.1812,7
441,431.8269,481.2689,9
442,443.0419,219.9466,7
443,276.0728,256.6199,4
444,238.0212,163.6138,7
445,664.6564,331.0225,7
446,505.5949,367.4232,7
447,400.8919,270.9867,6
448,434.1626,242.2714,4
449,332.1869,262.3338,6
450,602.5834,428.9902,8
451,511.3621,319.5963,5
452,541.298,477.3274,4
453,585.9884,567.2059,8
454,647.1543,368.4342,5
455,650.5877,204.7389,5
456,230.1871,298.9936,3
457,609.244,305.228,6
458,963.8877,377.2509,3
459,544.3405,330.1635,8
460,562.4346,502.4105,5
461,414.6439,292.5448,6
462,536.3715,416.1228,6
463,40.6521,27.8716,4
464,516.3467,421.1716,8
465,403.1136,369.0307,6
466,236.3034,14.3912,2
467,332.3855,261.6094,6
468,722.8636,409.9836,5
469,586.7014,502.1019,7
470,289.481,401.7291,3
471,402.1213,383.2105,3
472,320.4883,255.4632,5
473,396.4826,258.158,5
474,334.3979,200.7961,5
475,784.6041,521.3472,3
476,402.1643,373.4589,7
477,859.8,611.5692,4
478,555.7514,676.006,3
479,454.9652,387.4453,3
480,557.0527,338.6379,2
481,416.6813,612.8879,4
482,720.3873,980.5225,2
483,961.7922,616.1854,3
484,230.9213,272.4669,7
485,1262.8656,0,1
486,783.803,465.0689,3
487,802.9182,686.9148,3
488,535.9283,363.4974,3
489,91.6278,110.6317,2
490,567.3536,388.13,3
491,407.1709,496.0689,7
492,369.0991,322.0253,4
493,666.8904,349.2428,3
494,1217.6063,287.7932,2
495,669.7206,373.2516,3
496,637.1676,591.9861,3
497,765.8785,329.3323,5
498,1044.4299,336.9835,4
499,638.1098,684.987,4
500,522.4724,418.0895,4
501,316.5383,235.7895,3
502,589.6821,410.2159,3
503,420.0869,557.13,4
504,515.7574,444.4377,5
505,381.7004,601.0503,4
506,268.9599,146.0083,5
507,288.6672,216.1508,2
508,41.3792,0,1
509,147.7541,190.4728,2
510,550.4141,264.4227,3
511,150.897,136.3228,3
512,895.4587,701.7528,3
513,397.9231,528.7301,4
514,318.8733,304.7189,4
515,722.3277,579.8827,4
516,347.019,288.4357,3
517,304.1027,296.5432,5
518,937.8233,634.4275,5
519,520.2251,400.3665,8
520,559.1691,171.9817,6
521,171.7367,170.9891,5
522,50.221,43.3542,3
523,753.1042,450.3576,5
524,265.7525,0,1
525,275.5168,0,1
526,187.767,146.59,2
527,361.663,256.6595,4
528,710.9996,411.1122,8
529,845.8591,0,1
530,433.3792,692.1553,3
531,838.5699,784.026,5
532,676.4174,111.0097,2
533,298.8728,295.7154,6
534,3.4242,0,1
535,1196.151,0,1
536,742.6714,426.9705,4
537,65.2985,57.2643,2
538,556.2685,501.7874,5
539,404.5564,280.2872,2
540,467.7434,733.2652,4
541,351.4109,349.6508,3
542,277.1041,262.7059,4
543,562.9808,326.2675,6
544,378.7855,0,1
545,593.8956,384.7002,4
547,410.8242,446.0657,3
548,1100.1686,1160.3896,2
549,675.0089,606.4337,4
550,832.5178,688.6791,4
551,598.53510000000006,450.5801,3
552,571.0782,450.8835,7
553,1028.681,946.2105,2
554,781.1452,424.0197,4
555,195.1716,12.2468,2
556,278.8303,280.0135,8
557,465.9077,572.8729,4
558,621.9378,827.2517,2
559,159.5148,0,1
560,530.8868,548.6148,3
561,365.2968,57.0909,3
562,794.8464,610.143,7
563,306.2421,214.7959,4
564,288.381,206.7904,5
565,37.6968,0,1
566,804.1802,379.3041,2
567,143.8569,35.394,2
568,494.3272,565.8398,4
569,13.8613,0,1
570,251.5024,162.8555,4
571,591.1326,316.1615,5
572,517.0215,282.1891,2
573,305.3511,0,1
574,722.4993,569.682,3
575,381.5656,354.4126,3
576,251.8377,299.6139,4
577,620.4255,720.8273,5
578,568.3617,620.4327,6
580,452.1985,0,1
581,831.8691,519.6001,6
582,304.0172,193.1396,5
583,397.0237,556.946,3
584,675.0629,0,1
585,29.6481,24.6776,3
586,740.85,686.6461,2
588,1477.1213,0,1
589,480.0794,673.3378,2
590,159.9085,0,1
591,443.4967,475.6237,2
592,617.0996,538.1146,7
593,555.0035,870.9713,4
594,422.8814,397.6282,5
595,379.1952,342.2307,5
596,1133.3484,569.2785,2
597,737.5864,679.0061,2
598,556.7126,754.7511,2
599,767.8144,664.6687,2
600,725.5986,706.3089,6
601,502.6044,85.7346,3
602,501.0113,389.8576,3
603,633.8631,425.6793,3
604,200.1165,114.4259,3
605,427.7718,467.5178,9
606,971.1198,695.3384,5
607,581.2213,554.347,4
608,837.6006,753.884,5
609,396.4234,228.0805,2
610,394.6023,536.9182,2
611,979.4668,1075.2635,2
612,194.9725,0,1
613,703.2314,223.5196,4
614,356.7694,352.4035,3
615,506.7096,0,1
616,75.5326,52.6818,2
617,256.5988,270.0312,4
618,429.8047,289.1595,5
619,987.4067,188.7486,2
620,872.9606,691.21,2
621,964.3303,480.3687,4
623,361.3647,0,1
624,848.7137,654.8811,6
625,1095.6251,739.5004,3
626,712.4957,719.4217,5
627,397.2974,264.6832,6
628,877.675,92.023,2
629,453.0941,485.657,3
630,621.5186,500.5206,3
631,100.8319,110.3445,4
633,386.7144,548.8085,3
634,1151.3015,580.758,4
635,528.0352,188.4426,3
636,1081.6178,657.2403,3
637,446.2813,171.276,2
638,1072.9368,1434.9305,2
639,765.8119,727.3688,3
640,330.3028,153.3531,6
641,1071.2559,0,1
642,499.9371,723.544,4
643,1010.5764,347.087,4
644,1037.0826,273.6291,2
645,884.7389,971.5955,2
646,1267.3069,696.302,4
647,654.7202,813.5299,2
648,189.9397,41.9854,2
649,373.4876,278.3921,2
650,101.2084,0,1
651,905.4661,876.5656,2
652,1063.8553,556.6765,2
653,746.6458,483.8533,5
654,829.3553,782.9531,2
657,680.1768,663.077,5
659,327.8514,355.3115,3
660,817.5274,792.6469,5
661,469.8118,526.7218,5
662,1125.4708,789.2396,3
663,1243.798,864.9346,3
664,656.539,618.6654,2
665,980.182,275.8677,2
666,268.483,232.0841,6
667,770.5194,726.756,4
668,164.182,0,1
669,978.5567,0,1
670,953.0798,472.6286,3
671,1183.3208,87.3643,2
672,346.2068,257.456,2
673,946.2305,937.1387,2
674,642.6841,386.3323,4
675,355.5917,0,1
676,504.7629,618.5328,2
677,77.6616,0,1
678,889.5579,696.4383,3
679,578.7072,385.8209,4
680,708.2323,0,1
681,641.4999,331.4602,2
682,791.1268,0,1
683,633.6862,176.4829,4
684,621.0328,284.0201,2
685,642.728,0,1
686,262.0012,0,1
687,90.6914,114.7986,2
688,399.2509,194.0279,5
689,540.5256,672.6946,4
690,186.5496,0,1
691,1067.9814,882.7388,3
692,662.5353,635.8025,6
693,494.348,322.6497,6
694,159.9406,156.3523,2
695,590.8974,231.3414,2
697,736.4889,502.035,2
698,707.2447,565.9049,3
699,1762.9553,510.4362,2
700,966.3722,0,1
701,240.6884,0,1
702,1426.3457,912.0428,2
703,331.6446,244.2301,2
704,285.6046,193.0523,3
705,240.3809,0,1
706,861.1192,0,1
708,1402.6827,0,1
709,1208.6633,45.7925,2
710,975.1953,0,1
711,1489.5102,887.1468,2
712,817.2386,860.2745,5
713,154.9227,0,1
714,731.5092,515.6749,5
715,354.1437,187.8546,2
716,892.825,886.5793,2
717,346.5741,0,1
718,1076.169,763.9958,2
719,493.8256,0,1
720,516.4936,667.1777,2
721,598.0978,599.3953,3
723,820.4952,138.8143,2
724,865.5839,762.0398,3
725,996.1633,69.2594,2
726,417.9999,368.2343,2
727,100.0817,0,1
728,1638.8647,0,1
729,1773.0093,0,1
730,1688.8279,0,1
731,1645.6899,877.5539,2
732,184.376,258.0868,2
733,595.25,806.0819,2
734,592.6708,0,1
735,808.0985,209.4562,2
736,426.822,264.2116,2
737,726.6149,241.6057,2
739,962.3317,1125.8435,5
740,1054.8608,643.9091,2
741,1375.4283,0,1
742,926.701,443.1693,3
743,237.5548,20.1246,2
744,1050.2467,702.9837,4
745,387.9438,0,1
747,2080.3405,653.931,3
748,1842.3702,465.6962,3
749,1297.4889,0,1
751,747.0073,341.1943,5
752,306.7626,0,1
753,718.076,844.3798,2
755,622.2332,561.4378,2
756,2167.0972,0,1
757,58.1743,0,1
758,914.5783,647.5734,4
759,622.9304,534.0507,2
762,470.7434,615.3156,3
763,779.5494,871.6403,2
764,172.555,92.3519,3
766,102.7711,0,1
767,982.7273,0,1
768,597.7225,407.2571,3
769,1337.3405,195.9312,2
770,464.1678,0,1
771,300.087,200.7093,2
772,1173.9983,299.9172,2
773,328.8365,75.5119,3
774,1298.7373,0,1
775,360.0882,15.8286,2
776,922.644,1005.3446,3
777,125.1014,173.463,3
778,554.5967,792.132,3
779,304.8488,94.7739,4
780,171.4162,0,1
781,630.1838,536.0615,3
784,325.9376,292.7867,2
785,696.7365,0,1
786,800.9282,676.0382,3
787,1117.1681,0,1
788,897.4166,749.7297,3
