size,mean_age,sd_age,n
663,153,134.0298,3
664,72,26.8701,2
665,79.5,9.1924,2
666,151.1667,55.2645,6
667,164.5,124.6662,4
668,80,0,1
669,73,0,1
670,81.6667,18.5831,3
671,63,0,2
672,100.5,13.435,2
673,80.5,2.1213,2
674,136.25,45.2797,4
675,300,0,1
676,129,123.0366,2
677,173,0,1
678,233,236.1843,3
679,99,27.7609,4
680,80,0,1
681,79,11.3137,2
682,86,0,1
683,135.5,123.5624,4
684,69,24.0416,2
685,117,0,1
686,370,0,1
687,195.5,27.5772,2
688,148.2,46.2353,5
689,240.25,179.4201,4
690,118,0,1
691,166.3333,121.0675,3
692,114,57.4874,6
693,136.3333,55.2328,6
694,162.5,9.1924,2
695,100,41.0122,2
697,108,24.0416,2
698,106,36.5923,3
699,133,55.1543,2
700,62,0,1
701,116,0,1
702,87.5,71.4178,2
703,130.5,13.435,2
704,197.3333,95.0386,3
705,124,0,1
706,113,0,1
708,86,0,1
709,64,21.2132,2
710,97,0,1
711,59.5,24.7487,2
712,98.8,52.0115,5
713,144,0,1
714,113,45.8912,5
715,173,76.3675,2
716,196,189.5046,2
717,117,0,1
718,73.5,24.7487,2
719,81,0,1
720,271.5,146.3711,2
721,180.6667,85.0314,3
723,69,7.0711,2
724,118.3333,31.5647,3
725,86.5,50.2046,2
726,107.5,0.7071,2
727,216,0,1
728,68,0,1
729,55,0,1
730,45,0,1
731,123,93.3381,2
732,218,125.865,2
733,160.5,98.2878,2
734,71,0,1
735,146.5,108.1873,2
736,296.5,210.0107,2
737,178.5,118.0868,2
739,112.2,49.7263,5
740,145.5,68.5894,2
741,55,0,1
742,183.3333,105.4008,3
743,118,46.669,2
744,111.25,83.8903,4
745,82,0,1
747,128,51.8556,3
748,50.6667,7.5056,3
749,45,0,1
751,107.2,34.1716,5
752,83,0,1
753,90,32.5269,2
755,88.5,34.6482,2
756,89,0,1
757,307,0,1
758,93.5,32.6037,4
759,122,8.4853,2
762,235.3333,138.457,3
763,92.5,41.7193,2
764,176.6667,48.346,3
766,194,0,1
767,65,0,1
768,177.3333,151.2691,3
769,80.5,4.9497,2
770,108,0,1
771,115,41.0122,2
772,160,98.9949,2
773,89.3333,14.2945,3
774,58,0,1
775,131.5,40.3051,2
776,76,18.735,3
777,154.6667,70.614,3
778,138.6667,37.6342,3
779,220.5,122.8563,4
780,103,0,1
781,119.3333,13.6504,3
784,120.5,43.1335,2
785,146,0,1
786,131.3333,76.2714,3
787,45,0,1
788,118,85.0353,3
789,163.3333,67.471,3
790,98,60.8112,2
791,106,29.6985,2
793,91,28.284300000000002,2
794,118,0,1
795,305,0,1
796,315,363.4529,2
798,65,0,1
799,84,26.8701,2
801,147,91.9239,2
802,99,0,1
803,85.5,21.9203,2
804,343.3333,178.2283,3
805,157.5,28.9914,2
806,70,0,1
807,103,0,1
808,177,0,1
809,111,0,1
810,106.6,26.3496,5
812,156,0,1
813,139.6667,67.5599,3
814,207.6667,131.0509,3
815,147.2,85.5728,5
816,75,0,1
817,105.6667,40.0666,3
819,82.3333,28.0238,3
820,256.6667,165.6995,3
822,78,0,1
823,91,0,1
824,120.5,42.5637,4
825,66.5,0.7071,2
826,128,0,1
827,166,0,1
829,110,0,1
830,224,0,1
831,509,0,1
833,103.5,34.6482,2
834,80,0,1
835,117,35.5387,3
836,129.5,7.7782,2
837,172,59.6992,4
838,93,32.8268,6
840,285,0,1
841,134,0,1
842,157.6,57.204,5
843,143.5,0.7071,2
844,68,0,1
845,78,0,1
846,120,0,1
847,222,0,1
848,144,0,1
849,133.3333,40.0167,3
851,170.5,62.9325,2
852,93,0,1
853,110,0,1
854,151,45.2548,2
855,262,0,1
856,266,271.529,2
857,85,31.1127,2
858,179,0,1
859,92,0,1
860,111.3333,67.0099,3
861,114.5,34.6482,2
862,62,0,1
